	EventID	Status		Request Time	End Time	Turnaround Time	Pad
    -------------------------------------------------------------------------------------------------
	5		L		0		2		2			B
	4		D		0		4		4			A
	7		L		2		4		2			B
	9		L		4		6		2			A
	11		L		6		8		2			A
	15		L		10		12		2			A
	19		L		12		14		2			A
	21		L		14		16		2			A
	13		A		6		18		12			B
	23		L		16		18		2			A
	25		L		18		20		2			B
	17		D		10		22		12			A
	27		L		20		22		2			B
	31		D		22		26		4			A
	33		L		24		28		4			A
	35		L		26		30		4			A
	37		L		28		32		4			A
	29		A		22		34		12			B
	39		L		30		34		4			A
	43		L		32		36		4			B
	45		L		34		36		2			A
	47		L		36		38		2			B
	51		L		38		40		2			A
	53		L		40		42		2			A
	55		L		42		44		2			A
	57		L		44		46		2			A
	59		L		46		48		2			A
	41		A		30		50		20			B
	63		L		48		50		2			A
	65		L		50		52		2			A
	69		L		52		54		2			A
	73		L		54		56		2			A
	75		L		56		58		2			A
	49		A		36		62		26			B
	67		D		50		62		12			A
	77		L		58		64		6			B
	79		L		60		64		4			A
	81		L		62		66		4			B
	85		L		64		68		4			B
	83		D		62		68		6			A
	87		L		66		70		4			B
	89		L		68		70		2			A
	91		L		70		72		2			A
	93		L		72		74		2			A
	61		A		46		82		36			B
	107		E		80		82		2			A
	109		E		80		84		4			B
	97		L		74		84		10			A
	101		L		76		86		10			A
	103		L		78		88		10			A
	105		L		80		94		14			A
	71		A		52		96		44			B
	111		L		82		96		14			A
	113		L		86		98		12			A
	117		L		90		100		10			A
	119		L		92		104		12			A
	121		L		94		106		12			A
	95		A		72		108		36			B
	123		L		96		110		14			A
	125		L		98		112		14			A
	129		L		102		114		12			A
	131		L		104		116		12			A
	133		L		112		118		6			A
	99		A		74		120		46			B
	135		L		116		120		4			A
	137		L		118		122		4			A
	115		A		88		132		44			B
